S.No,IMO Number,Vessel Name,Maker,Model,Make Type,Detail,Engine Type,Mark,Emission,Features,Injection,MAKE,MODEL
465,9748784,SHANDONG FU REN,QMD MAN B&W,6S60ME-C8.2,MAN B&W,6S60,ME-C,8.2,,,,MAN BW,6S60::8.2
466,9748813,SHANDONG FU XIN,QMD MAN B&W,6S60ME-C8.2,MAN B&W,6S60,ME-C,8.2,,,,MAN BW,6S60::8.2
467,9748801,SHANDONG FU YI,QMD MAN B&W,6S60ME-C8.2,MAN B&W,6S60,ME-C,8.2,,,,MAN BW,6S60::8.2
468,9433860,SINAR MINAHASA,HANSHIN DIESEL WORKS LTD.,6S35MC,MAN B&W,6S35,MC-C,,,,,MAN BW,6S35
469,9783930,SOUTHERN LEADER,MITSUI MAN B&W,6G60ME-C9.5,MAN B&W,6G60,ME-C,9.5,,,,MAN BW,6G60::9.5
470,9783916,SOUTHERN REVERENCE,MAN B&W,6G60ME-C MARK 9.5,MAN B&W,6G60,ME-C,9.5,,,,MAN BW,6G60::9.5
471,9815458,STAR RIVER,HHM WARTSILA,5RT-FLEX50D,Others,,,,,,,Others,
472,9934888,STENA CONDUCTOR,HYUNDAI MAN B&W,6G50ME-C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
473,9543110,STENA CONVOY,HYUNDAI MAN B&W,6G50ME-C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
474,9937581,SUCCESS TRADER,CSSC MES MAN B&W,6G70ME-C10.5-HPSCR,MAN B&W,6G70,ME-C,10.5,,HPSCR,,MAN BW,6G70::10.5
475,9984170,SW LEGEND,MITSUI MAN B&W,6S50ME-C9.7 EGRBP,MAN B&W,6S50,ME-C,9.7,,EGRBP,,MAN BW,6S50::9.7
476,9920069,TAKAO GALAXY,JAPAN ENGINE CORP.,6UEC42LSH-ECO-D3,Others,,,,,,,Others,
477,9338577,TAOKAS WISDOM,,,,,,,,,,,
478,9737503,TEXAS TRIUMPH,MITSUI MAN B&W,11S90ME-C10.5,MAN B&W,11S90,ME-C,10.5,,,,MAN BW,11S90::10.5
479,9543081,TRAMMO CORNELL,STX MAN B&W,6G50ME-B MARK 9.5,MAN B&W,6G50,ME-B,9.5,,,,MAN BW,6G50::9.5
480,9409168,TRAMMO MARYCAM,HYUNDAI MAN B&W,,MAN B&W,,,,,,,MAN BW,
481,9792515,TRAMMO PARIS,HYUNDAI MAN B&W,6G45ME-C MARK 9.5,MAN B&W,6G45,ME-C,9.5,,,,MAN BW,6G45::9.5
482,9550216,TRANSFORMER OL,MAKITA MITSUI MAN B&W,6S42MC (MARK VI),MAN B&W,6S42,MC-C,6,,,,MAN BW,6S42::6
483,9403528,TRUE CHAMPION,HYUNDAI MAN B&W,6S70ME-C7,MAN B&W,6S70,ME-C,7,,,,MAN BW,6S70::7
484,9778430,TRUE CONRAD,CSSC MES DIESEL CO. LTD.,6G70ME-C (Mark 9.2),MAN B&W,6G70,ME-C,9.2,,,,MAN BW,6G70::9.2
485,9778416,TRUE NEPTUNE,CSSC MES DIESEL CO. LTD.,6G70ME-C (Mark 9.2),MAN B&W,6G70,ME-C,9.2,,,,MAN BW,6G70::9.2
486,9860192,TRUST GALAXY,HITACHI MAN B&W,6S40ME-B9.3,MAN B&W,6S40,ME-B,9.3,,,,MAN BW,6S40::9.3
487,9796834,TSUKUBA GALAXY,MAKITA MITSUI MAN B&W,6S46ME-B MARK 8.5,MAN B&W,6S46,ME-B,8.5,,,,MAN BW,6S46::8.5
488,9875501,TSURUGI GALAXY,MAKITA MITSUI MAN B&W,6S46ME-B MARK 8.5,MAN B&W,6S46,ME-B,8.5,,,,MAN BW,6S46::8.5
489,9865740,TWEED,HYUNDAI MAN B&W,6G50ME-C9.5-HPSCR,MAN B&W,6G50,ME-C,9.5,,HPSCR,,MAN BW,6G50::9.5
490,9973353,WHITE ALLEGRA,CSSC MES MAN B&W,6S40ME-C9.7-HPSCR,MAN B&W,6S40,ME-C,9.7,,HPSCR,,MAN BW,6S40::9.7
491,9799111,WHITE HORSE,HHM MAN B&W,6S35ME-B9.5,MAN B&W,6S35,ME-B,9.5,,,,MAN BW,6S35::9.5
492,9917957,WHITE PEARL,HHM WARTSILA,5RT-FLEX50D,Others,,,,,,,Others,
493,9799109,WHITE STAR,HHM MAN B&W,6S35ME-B9.5,MAN B&W,6S35,ME-B,9.5,,,,MAN BW,6S35::9.5
494,9858852,WISCO ADVENTURE,MITSUI MAN B&W,6S50ME-B MARK 9.5,MAN B&W,6S50,ME-B,9.5,,,,MAN BW,6S50::9.5
495,9875214,WORLD DIANA,MITSUI MAN B&W,6S50ME-C8.5,MAN B&W,6S50,ME-C,8.5,,,,MAN BW,6S50::8.5
496,9860403,WORLD PRIZE,MITSUI MAN B&W,6S50ME-C9.5,MAN B&W,6S50,ME-C,9.5,,,,MAN BW,6S50::9.5
497,9860398,WORLD RUBY,MITSUI MAN B&W,6S50ME-C9.5,MAN B&W,6S50,ME-C,9.5,,,,MAN BW,6S50::9.5
498,9860374,WORLD VIRTUE,MITSUI MAN B&W,6S50ME-C9.5,MAN B&W,6S50,ME-C,9.5,,,,MAN BW,6S50::9.5
499,9954967,XIN XIANG SEA,CSSC MAN B&W,6G50ME.C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
500,9954993,XIN ZHENG SEA,CSSC MAN B&W,6G50ME.C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
501,9955014,XIN ZHI SEA,CSSC MAN B&W,6G50ME.C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
502,9963138,YEOSU VOYAGER,HYUNDAI MAN B&W,7S60ME-C10.5,MAN B&W,7S60,ME-C,10.5,,,,MAN BW,7S60::10.5
