S.No,IMO Number,Vessel Name,Maker,Model,Make Type,Detail,Engine Type,Mark,Emission,Features,Injection,MAKE,MODEL
164,9977373,CL YANGJIANG,HHM MAN B&W,6S50ME-C9.7,MAN B&W,6S50,ME-C,9.7,,,,MAN BW,6S50::9.7
165,9703265,CL YANGZHOU,DOOSAN ENGINE CO. LTD.,6S60ME-C8.2 (TIER II),MAN B&W,6S60,ME-C,8.2,TIER II,,,MAN BW,6S60::8.2
166,9953365,CL ZHANGJIAJIE,HHM MAN B&W,6S50ME-C9.7,MAN B&W,6S50,ME-C,9.7,,,,MAN BW,6S50::9.7
167,9977359,CL ZHANJIANG,HHM MAN B&W,6S50ME-C9.7,MAN B&W,6S50,ME-C,9.7,,,,MAN BW,6S50::9.7
168,9916604,CLEAROCEAN GINKGO,HYUNDAI MAN B&W,6G50ME-C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
169,9916616,CLEAROCEAN HICKORY,HYUNDAI MAN B&W,6G50ME-C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
170,9919163,CLEAROCEAN MESQUITE,HYUNDAI MAN B&W,6G50ME-C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
171,8913174,CNTIC VPOWER ENERGY,,,,,,,,,,,
172,9696735,CNTIC VPOWER GLOBAL,WARTSILA CORP.,9L50DF,Others,,,,,,,Others,
173,9459230,COETIVY,MITSUI MAN B&W,6S50MC-C,MAN B&W,6S50,MC-C,,,,,MAN BW,6S50
174,9295037,COMPASSION,DMD MAN B&W,6S60MC,MAN B&W,6S60,MC-C,,,,,MAN BW,6S60
175,9537903,CONRAD OLDENDORFF,HYUNDAI-MAN B&W,6S60MC-C,MAN B&W,6S60,MC-C,,,,,MAN BW,6S60
176,9622916,CORA OLDENDORFF,HYUNDAI MAN B&W,6S60MC-C MK7,MAN B&W,6S60,MC-C,7,,,,MAN BW,6S60::7
177,9397793,CORAL PEARL,MITSUI MAN B&W,7S60MC,MAN B&W,7S60,MC-C,,,,,MAN BW,7S60
178,9511014,COREFORTUNE OL,MITSUI MAN B&W,6S50ME-B9.3,MAN B&W,6S50,ME-B,9.3,,,,MAN BW,6S50::9.3
179,9519212,COREOCEAN OL,MAKITA MITSUI MAN B&W,6S42MC (MK VI),MAN B&W,6S42,MC-C,6,,,,MAN BW,6S42::6
180,9692741,CORESKY OL,MAKITA MITSUI MAN B&W,6S46ME-B8.3,MAN B&W,6S46,ME-B,8.3,,,,MAN BW,6S46::8.3
181,9498846,CORNELIE OLDENDORFF,HYUNDAI-MAN B&W,6S60MC6,MAN B&W,6S60,MC-C,6,,,,MAN BW,6S60::6
182,9335056,COURAGE,HYUNDAI MAN B&W,6S50MC-C (MK7),MAN B&W,6S50,MC-C,7,,,,MAN BW,6S50::7
183,9418406,CPG ALIX,WARTSILA CORP.,8L20C3,Others,,,,,,,Others,
184,9727429,CRIMSON ACE,MITSUI MAN B&W,6S60ME-C8.2,MAN B&W,6S60,ME-C,8.2,,,,MAN BW,6S60::8.2
185,9944974,CRISTOBAL,HYUNDAI MAN B&W,6G60ME-C10.5-LGIP,MAN B&W,6G60,ME-C,10.5,,,LGIP,MAN BW,6G60::10.5
186,9993509,CRYSTAL ETERNITY,STX MAN B&W,6G50ME-C9.6-HPSCR,MAN B&W,6G50,ME-C,9.6,,HPSCR,,MAN BW,6G50::9.6
187,9746164,CUTLASS GALAXY,MAKITA MITSUI MAN B&W,6S42MC7.1,MAN B&W,6S42,MC-C,7.1,,,,MAN BW,6S42::7.1
188,9164677,D AND K I,MITSUI MAN B&W,6S50MC,MAN B&W,6S50,MC-C,,,,,MAN BW,6S50
189,9399624,D AND K YUSUF I. AL-GHANIM,STX MAN B&W,6S50MC-C (MK 7),MAN B&W,6S50,MC-C,7,,,,MAN BW,6S50::7
190,9709336,DAIWAN HERO,MAKITA MITSUI MAN B&W,6S46ME-B8.3,MAN B&W,6S46,ME-B,8.3,,,,MAN BW,6S46::8.3
191,9709348,DAIWAN INFINITY,MAKITA MITSUI MAN B&W,6S46ME-B8.3,MAN B&W,6S46,ME-B,8.3,,,,MAN BW,6S46::8.3
192,9709324,DAIWAN KALON,MAKITA MITSUI MAN B&W,6S46ME-B8.3,MAN B&W,6S46,ME-B,8.3,,,,MAN BW,6S46::8.3
193,9427134,DAIWAN WISDOM,KOBE DIESEL MITSUBISHI CO. LTD.,6UEC45LSE,Others,,,,,,,Others,
194,9697428,DALI,HYUNDAI MAN B&W,9S90ME-C MARK 9.2,MAN B&W,9S90,ME-C,9.2,,,,MAN BW,9S90::9.2
195,9367750,DEE4 ELM,MITSUI MAN B&W,6S50MC MARK -6,MAN B&W,6S50,MC-C,6,,,,MAN BW,6S50::6
196,9922093,DEE4 ILEX,HYUNDAI MAN B&W,6G50ME-C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
197,9930923,DEE4 JUNIPER,HYUNDAI MAN B&W,6G50ME-C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
198,9933638,DEE4 KASTANIA,HYUNDAI MAN B&W,6G50ME-C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
199,9697909,DEE4 LARCH,HYUNDAI MAN B&W,6G50ME-B MARK 9.3,MAN B&W,6G50,ME-B,9.3,,,,MAN BW,6G50::9.3
200,9697909,DEE4 LARCH,HYUNDAI MAN B&W,6G50ME-B9.3,MAN B&W,6G50,ME-B,9.3,,,,MAN BW,6G50::9.3
201,9942500,DEE4 MAHOGANY,HYUNDAI MAN B&W,6G50ME-C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
202,9929821,DEE4 NERIUM,HYUNDAI MAN B&W,6G50ME-C9.6,MAN B&W,6G50,ME-C,9.6,,,,MAN BW,6G50::9.6
203,9258674,ENI,HYUNDAI MAN B&W,6S50MC (MARK VI),MAN B&W,6S50,MC-C,6,,,,MAN BW,6S50::6
204,9993468,DIAMOND ETERNITY,STX MAN B&W,6G50ME-C9.6-HPSCR,MAN B&W,6G50,ME-C,9.6,,HPSCR,,MAN BW,6G50::9.6
205,9829629,DIJILAH,DOOSAN MAN B&W,7G80ME-C MARK 9.5,MAN B&W,7G80,ME-C,9.5,,,,MAN BW,7G80::9.5
206,9700213,DK ABDUL RAZZAK KHALID ZAID AL-KHALID,STX MAN B&W,6G50ME-B MARK 9.3,MAN B&W,6G50,ME-B,9.3,,,,MAN BW,6G50::9.3
207,9700213,DK ABDUL RAZZAK KHALID ZAID AL-KHALID,STX MAN B&W,6G50ME-B9.3,MAN B&W,6G50,ME-B,9.3,,,,MAN BW,6G50::9.3
208,9419747,DONG-A METIS,STX MAN B&W,6S60MC-C(MK 8),MAN B&W,6S60,MC-C,8,,,,MAN BW,6S60::8
209,9682966,DOUBLE MIRACLE,MITSUI-MAN B&W,6S60ME-C8.2,MAN B&W,6S60,ME-C,8.2,,,,MAN BW,6S60::8.2
210,9582996,DREAM STAR,MITSUI-MAN B&W,6S60MC-C (MARK-7),MAN B&W,6S60,MC-C,7,,,,MAN BW,6S60::7
211,9553220,EASTERN GARDENIA,HYUNDAI MAN B&W,6S50MC-C7,MAN B&W,6S50,MC-C,7,,,,MAN BW,6S50::7
212,9948023,EASTERN HEATHER,HHM MAN B&W,6S60ME-C10.5-TIII HPSCR,MAN B&W,6S60,ME-C,10.5,TIER III,HPSCR,,MAN BW,6S60::10.5
213,9435052,EASTERN XANTHINA,HYUNDAI MAN B&W,6S70MC (MK 6),MAN B&W,6S70,MC-C,6,,,,MAN BW,6S70::6
214,9989261,ECO TRADER,CSSC MAN B&W,5S50ME-C9.7-HPSCR,MAN B&W,5S50,ME-C,9.7,,HPSCR,,MAN BW,5S50::9.7
215,9491666,EFFICIENCY OL,AKASAKA MITSUBISHI DIESELS LTD.,6UEC45LSE,Others,,,,,,,Others,
216,9323895,EGE M,DIESEL UNITED CO. LTD.,6RT-FLEX50,Others,,,,,,,Others,
217,9767522,EHIME QUEEN,MITSUI MAN B&W,6S70ME-C MARK 8.2,MAN B&W,6S70,ME-C,8.2,,,,MAN BW,6S70::8.2
218,9479204,EIBHLIN,HITACHI-MAN B&W,7S65ME-C MK7,MAN B&W,7S65,ME-C,7,,,,MAN BW,7S65::7
219,9425564,EMERALD EXPRESS,MITSUI MAN B&W,6S50MC MARK 6,MAN B&W,6S50,MC-C,6,,,,MAN BW,6S50::6
220,9425564,EMERALD EXPRESS,MITSUI MAN B&W,6S50MC MARK -6,MAN B&W,6S50,MC-C,6,,,,MAN BW,6S50::6
221,9497177,CLIPPER AEGINA,YMD MAN B&W,6S42MC MARK 7,MAN B&W,6S42,MC-C,7,,,,MAN BW,6S42::7
222,9759991,EMPEROR PAMPERO,HITACHI-MAN B&W,7S65ME-C MK8.5,MAN B&W,7S65,ME-C,8.5,,,,MAN BW,7S65::8.5
223,9871787,EMPRESS ZONDA,HITACHI-MAN B&W,7S65ME-C MK8.5,MAN B&W,7S65,ME-C,8.5,,,,MAN BW,7S65::8.5
224,9935492,ENEOS EXPLORER,HYUNDAI MAN B&W,6G60ME-C10.5,MAN B&W,6G60,ME-C,10.5,,,,MAN BW,6G60::10.5
225,9328560,EPICURUS,HITACHI ZOSEN MAN B&W,6S60MC (MK VI),MAN B&W,6S60,MC-C,6,,,,MAN BW,6S60::6
226,9328560,EPICURUS,HITACHI ZOSEN MAN B&W,6S60MC (MARK VI),MAN B&W,6S60,MC-C,VI,,,,MAN BW,6S60::VI
227,9353888,EASTERN LIGHT,MAK CATERPILLAR,9M32C,Others,,,,,,,Others,
228,9289166,ESPERANZA,STX HEAVY INDUSTRIES CO. LTD.,8S60 ME-C(MK8),MAN B&W,8S60,ME-C,8,,,,MAN BW,8S60::8
229,9425851,ETERNITY SW,MITSUI MAN B&W,6S50MC-C,MAN B&W,6S50,MC-C,,,,,MAN BW,6S50
230,9232060,ETOILE,MITSUI MAN B&W,6S70MC (Mark-6),MAN B&W,6S70,MC-C,6,,,,MAN BW,6S70::6
231,9972452,EVA GLOBAL,CSSC MAN B&W,5S50ME-C9.7-HPSCR,MAN B&W,5S50,ME-C,9.7,,HPSCR,,MAN BW,5S50::9.7
232,9972440,EVA ISTANBUL,CSSC MAN B&W,5S50ME-C9.7-HPSCR,MAN B&W,5S50,ME-C,9.7,,HPSCR,,MAN BW,5S50::9.7
233,9972646,EVA LINDEN,STX MAN B&W,6G50ME-C9.6 TIER III HPSCR & EGB,MAN B&W,6G50,ME-C,9.6,TIER III,HPSCR & EGB,,MAN BW,6G50::9.6
234,9972634,EVA RICHMOND,STX MAN B&W,6G50ME-C9.6 TIER III HPSCR & EGB,MAN B&W,6G50,ME-C,9.6,TIER III,HPSCR & EGB,,MAN BW,6G50::9.6
235,9786827,EVER GIFTED,MITSUI MAN B&W,11G95ME-C MARK 9.5,MAN B&W,11G95,ME-C,9.5,,,,MAN BW,11G95::9.5
236,9786841,EVER GLOBE,MITSUI MAN B&W,11G95ME-C MARK 9.5,MAN B&W,11G95,ME-C,9.5,,,,MAN BW,11G95::9.5
237,9820855,EVER GRADE,MITSUI MAN B&W,11G95ME-C MARK 9.5,MAN B&W,11G95,ME-C,9.5,,,,MAN BW,11G95::9.5
238,9832729,EVER GREET,MITSUI MAN B&W,11G95ME-C MARK 9.5,MAN B&W,11G95,ME-C,9.5,,,,MAN BW,11G95::9.5
239,9902873,EVERGREEN MARINER,HYUNDAI MAN B&W,6G50ME-C9.5,MAN B&W,6G50,ME-C,9.5,,,,MAN BW,6G50::9.5
240,9798648,FAIRCHEM CONQUEST,HITACHI MAN B&W,6S40ME-B9.3,MAN B&W,6S40,ME-B,9.3,,,,MAN BW,6S40::9.3
242,9800441,FAIRCHEM ENDURANCE,MAKITA MITSUI MAN B&W,6S46ME-B MARK 8.5,MAN B&W,6S46,ME-B,8.5,,,,MAN BW,6S46::8.5
243,9805910,FAIRCHEM FORTITUDE,MAKITA MITSUI MAN B&W,6S46ME-B MARK 8.5,MAN B&W,6S46,ME-B,8.5,,,,MAN BW,6S46::8.5
244,9791183,FAIRCHEM LOYALTY,JAPAN ENGINE CORP.,6UEC45LSE-1,Others,,,,,,,Others,
245,9758090,FAIRCHEM SUCCESS,KOBE DIESEL MITSUBISHI CO. LTD.,6UEC45LSE-1,Others,,,,,,,Others,
246,9758038,FAIRCHEM TRIUMPH,KOBE DIESEL MITSUBISHI CO. LTD.,6UEC45LSE-1,Others,,,,,,,Others,
247,9791195,FAIRCHEM VALOR,JAPAN ENGINE CORP.,6UEC45LSE-1,Others,,,,,,,Others,
248,9773179,BOW VICTORY,HITACHI MAN B&W,6S40ME-B9.3,MAN B&W,6S40,ME-B,9.3,,,,MAN BW,6S40::9.3
249,9290402,FELIXSTOWE,HYUNDAI SULZER,8RTA96C-B,Others,,,,,,,Others,
250,9989730,FIRST DELPHINUS,HITACHI-MAN B&W,7S65ME-C8.5,MAN B&W,7S65,ME-C,8.5,,,,MAN BW,7S65::8.5
